PG.ProteinAccessions,PG.Genes,[1] HF_RCF20200718_52ITDR_0nM_1.raw.PG.Quantity,[2] HF_RCF20200718_52ITDR_0nM_2.raw.PG.Quantity,[3] HF_RCF20200718_52ITDR_0nM_3.raw.PG.Quantity,[4] HF_RCF20200718_52ITDR_0nM_4.raw.PG.Quantity,[5] HF_RCF20200718_52ITDR_0nM_5.raw.PG.Quantity,[6] HF_RCF20200718_52ITDR_2nM_1.raw.PG.Quantity,[7] HF_RCF20200718_52ITDR_2nM_2.raw.PG.Quantity,[8] HF_RCF20200718_52ITDR_2nM_3.raw.PG.Quantity,[9] HF_RCF20200718_52ITDR_2nM_4.raw.PG.Quantity,[10] HF_RCF20200718_52ITDR_2nM_5.raw.PG.Quantity,[11] HF_RCF20200718_52ITDR_20uM_1.raw.PG.Quantity,[12] HF_RCF20200718_52ITDR_20uM_2.raw.PG.Quantity,[13] HF_RCF20200718_52ITDR_20uM_3.raw.PG.Quantity,[14] HF_RCF20200718_52ITDR_20uM_4.raw.PG.Quantity,[15] HF_RCF20200718_52ITDR_20uM_5.raw.PG.Quantity,[16] HF_RCF20200718_52ITDR_40nM_1.raw.PG.Quantity,[17] HF_RCF20200718_52ITDR_40nM_2.raw.PG.Quantity,[18] HF_RCF20200718_52ITDR_40nM_3.raw.PG.Quantity,[19] HF_RCF20200718_52ITDR_40nM_4.raw.PG.Quantity,[20] HF_RCF20200718_52ITDR_40nM_5.raw.PG.Quantity,[21] HF_RCF20200718_52ITDR_800nM_1.raw.PG.Quantity,[22] HF_RCF20200718_52ITDR_800nM_2.raw.PG.Quantity,[23] HF_RCF20200718_52ITDR_800nM_3.raw.PG.Quantity,[24] HF_RCF20200718_52ITDR_800nM_4.raw.PG.Quantity,[25] HF_RCF20200718_52ITDR_800nM_5.raw.PG.Quantity
Q8NG08,HELB,4778.944824,3519.572021,4766.787109,4814.624023,4738.927734,2068.248291,4399.580566,4672.883789,4834.450195,2328.777344,4683.06543,4209.487793,4029.883545,5570.239258,5714.870605,5179.091797,4208.514648,4251.65625,4208.854492,5882.610352,3047.80835,4566.631836,3184.502441,3512.349609,4784.985352
Q8NG31,KNL1,16489.44141,17457.51758,17105.58398,15224.59668,17767.70508,17505.09961,17851.09375,17501.86914,18614.88867,17913.83008,17708.79883,15880.04395,16163.26074,18881.0957,17262.05273,16531.22266,19099.01563,17448.69531,16488.70313,16080.68066,16436.2832,14909.81055,14790.20703,15959.73926,17804.20703
Q8NHG8,ZNRF2,29708.12891,33452,28233.71484,32072.96875,31217.25781,33808.70313,29225.46875,30754.21094,28986.8418,29049.38477,28096.66602,32012.31641,30401.41406,31230.92383,37986.33594,25412.66992,34870.67969,31312.56836,32004.39258,27466.57813,30647.82031,42448.04297,33211.96875,32441.49609,31892.06445
Q8NHP8,PLBD2,1027608.813,1007861.313,1043488.25,1095575,1076240.75,1088361.75,1045778.438,1099830.5,1007927.25,1115295.625,1033413.563,1044191.313,1037574.188,1050447.5,1048568.125,1008177.938,999029.9375,1072642.25,1099715,1119741.875,1092197.25,1295556.5,1148919.125,1148711,1129794.625
Q8NHQ9,DDX55,20116.96289,18024.0625,18579.49414,23377.94922,17525.25,17286.875,18955.57227,16837.42578,19305.87891,15962.42578,14231.18945,19054.76367,19666.74805,16441.93555,17862.84375,19761.41406,21398.9375,17999.44922,17399.67578,19793.85742,18956.92578,19293.33203,21241.15039,18022.8418,18044.89258
Q8NHV4,NEDD1,37981.19141,38338.11719,37655.76563,44057.66797,43623.52344,42015.17969,45504.73438,37822.68359,40935.65625,45475.22656,34778.71094,36131.14844,41186.00781,42336.69922,45853.98047,38157.37109,40082.66797,42733.10938,46029.57031,39694.69531,44620.1875,44348.1875,41774.66797,43749.28125,49105.10547
Q8NHZ8,CDC26,50827.85938,51064.72656,51060.3125,46136.80859,50457.14844,52092.96875,51368.92578,48483.73438,53171.86719,54474.87891,50158.68359,43441.58984,47317.58984,54975.375,53729.23438,51891.6875,52154.42969,51582.39453,52762.98828,56775.19531,58082.90625,38190.10156,43421.53906,54447.78516,56760.50781
Q8NI22,MCFD2,46456.07031,48882.57031,51121.60938,39105.46094,52916.32813,46413.80859,47356.91797,44534.78516,47981.80078,55301.69141,51779.42578,44874.91016,47692.01172,52306.44531,47540.08203,42745.21484,46782.77344,46474.78906,48692.53516,49840.08594,48874.94531,31749.53906,30218.61328,47251.02344,46352.16406
Q8NI27,THOC2,288978.0313,315051.375,318425.5313,385097.1875,285968.875,313118.875,333808.4063,329465.3125,319137.3438,287901.9375,332955.1875,377870.1563,342953.8125,347022.8125,391298.75,398605.75,358892.375,351914.625,298935.5,324932.9375,331142.7188,392676.6563,412357.75,319731.5,334002.1875
Q8NI36,WDR36,69523.07813,62975.64453,62477.3125,66152.95313,60836.32813,54374.58594,63561.71094,56366.1875,62982.89063,53863.64453,53624.90625,62768.62109,57240.57813,67031.74219,69970.92969,74701.48438,65937.89063,59098.73438,61976.32031,57628.63281,56063.87891,67117.16406,64631.59766,66829.42188,62188.97656
